"","species","GO.ID","Term","Fisher","Significant","ontology","Protein","Protein_abbrv"
"1","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1) (RaKCaR)","Casr Gprc2a Pcar1"
"2","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Multiple epidermal growth factor-like domains protein 8 (Multiple EGF-like domains protein 8) (Epidermal growth factor-like protein 4) (EGF-like protein 4)","Megf8 Egfl4"
"3","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"4","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Pkd1l2"
"5","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Hemicentin-1 (Fibulin-6) (FIBL-6)","Hmcn1"
"6","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP)","ACAN AGC1"
"7","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Mucin-like protein",""
"8","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Hemicentin-1 (Fibulin-6) (FIBL-6)","Hmcn1"
"9","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Hemicentin-1 (Fibulin-6) (FIBL-6)","Hmcn1"
"10","Ahya","GO:0005509","calcium ion binding",4.7e-11,55,"Molecular Functions","Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)","FAT4 CDHF14 FATJ Nbla00548"
