overlap_bp,read_pairs,Replicate
1,0.7222222222,Apoc_2
2,0.2290474924,Apoc_2
3,1.867375561,Apoc_2
4,13.9838231,Apoc_2
5,3.408300481,Apoc_2
6,10.34619408,Apoc_2
7,10.46517776,Apoc_2
8,10.31716228,Apoc_2
9,10.57822071,Apoc_2
10,188.0201632,Apoc_2
11,19.84584874,Apoc_2
12,68.34131533,Apoc_2
13,4.834561071,Apoc_2
14,22.78699045,Apoc_2
15,15.76953723,Apoc_2
16,19.95336043,Apoc_2
17,5.490378229,Apoc_2
18,4.369225145,Apoc_2
19,2.138359123,Apoc_2
20,2.434999799,Apoc_2
21,13.09772585,Apoc_2
22,6.375134369,Apoc_2
23,3.913445182,Apoc_2
24,28.7188753,Apoc_2
25,5.783636578,Apoc_2
26,3.061195477,Apoc_2
27,4.109247228,Apoc_2
28,,Apoc_2
29,0.02702702703,Apoc_2
30,,Apoc_2
31,,Apoc_2
32,,Apoc_2
33,,Apoc_2
34,,Apoc_2
1,1.58E-05,Apoc_3
2,,Apoc_3
3,,Apoc_3
4,,Apoc_3
5,,Apoc_3
6,,Apoc_3
7,,Apoc_3
8,,Apoc_3
9,,Apoc_3
10,8.001267874,Apoc_3
11,,Apoc_3
12,,Apoc_3
13,,Apoc_3
14,,Apoc_3
15,,Apoc_3
16,,Apoc_3
17,,Apoc_3
18,,Apoc_3
19,1,Apoc_3
20,,Apoc_3
21,,Apoc_3
22,2,Apoc_3
23,,Apoc_3
24,,Apoc_3
25,,Apoc_3
26,,Apoc_3
27,,Apoc_3
28,,Apoc_3
29,,Apoc_3
30,,Apoc_3
31,,Apoc_3
32,,Apoc_3
33,,Apoc_3
34,,Apoc_3
1,,Apoc_4
2,,Apoc_4
3,,Apoc_4
4,,Apoc_4
5,,Apoc_4
6,0.01364542862,Apoc_4
7,,Apoc_4
8,,Apoc_4
9,,Apoc_4
10,5.386225201,Apoc_4
11,0.2162116294,Apoc_4
12,2,Apoc_4
13,,Apoc_4
14,1.819400341,Apoc_4
15,,Apoc_4
16,,Apoc_4
17,,Apoc_4
18,,Apoc_4
19,0.2,Apoc_4
20,,Apoc_4
21,,Apoc_4
22,,Apoc_4
23,0.8,Apoc_4
24,,Apoc_4
25,,Apoc_4
26,,Apoc_4
27,,Apoc_4
28,,Apoc_4
29,,Apoc_4
30,,Apoc_4
31,,Apoc_4
32,,Apoc_4
33,,Apoc_4
34,,Apoc_4
