"","miRNA","three_UTR","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","gene_name"
"1","Cluster_1200","3prime_UTR::Ap10:1820753-1821225(+)",149,-23.18,"2 19","67 91",20,"65.00%","75.00%","evm.model.Ap10.175"
"5","Cluster_1200","3prime_UTR::Ap10:18311150-18312150(+)",142,-22.43,"2 16","849 871",15,"73.33%","73.33%","evm.model.Ap10.1803"
"6","Cluster_1200","3prime_UTR::Ap10:18496752-18497752(+)",150,-24.93,"2 21","8 28",19,"63.16%","78.95%","evm.model.Ap10.1825"
"11","Cluster_1200","3prime_UTR::Ap10:3465092-3466092(+)",157,-24.44,"2 21","28 47",19,"68.42%","84.21%","evm.model.Ap10.331"
"12","Cluster_1200","3prime_UTR::Ap10:3618292-3619292(+)",147,-20.49,"2 12","457 478",10,"90.00%","90.00%","evm.model.Ap10.351"
"13","Cluster_1200","3prime_UTR::Ap10:6923253-6924253(+)",152,-22.41,"2 20","219 238",18,"72.22%","77.78%","evm.model.Ap10.657"
"14","Cluster_1200","3prime_UTR::Ap10:7356893-7357893(+)",153,-22.24,"2 19","483 505",18,"72.22%","77.78%","evm.model.Ap10.687"
"15","Cluster_1200","3prime_UTR::Ap11:1140600-1141600(+)",140,-24.33,"2 9","362 383",7,"100.00%","100.00%","evm.model.Ap11.85"
"16","Cluster_1200","3prime_UTR::Ap11:11520931-11521931(+)",164,-20.43,"2 21","206 227",19,"73.68%","78.95%","evm.model.Ap11.1035"
"17","Cluster_1200","3prime_UTR::Ap11:14165547-14166547(-)",162,-24.58,"2 21","443 467",22,"77.27%","77.27%","evm.model.Ap11.1262"
"19","Cluster_1200","3prime_UTR::Ap11:20893237-20894237(-)",151,-23.65,"2 12","134 155",10,"90.00%","100.00%","evm.model.Ap11.1889"
"20","Cluster_1200","3prime_UTR::Ap11:20893237-20894237(-)",158,-26.8,"2 21","23 46",21,"71.43%","80.95%","evm.model.Ap11.1889"
"21","Cluster_1200","3prime_UTR::Ap11:21083046-21084046(-)",151,-20.09,"2 17","886 910",18,"72.22%","77.78%","evm.model.Ap11.1907"
"22","Cluster_1200","3prime_UTR::Ap11:7093341-7094341(-)",143,-21.56,"2 21","923 945",20,"65.00%","65.00%","evm.model.Ap11.636"
"23","Cluster_1200","3prime_UTR::Ap12:11265696-11266696(-)",155,-22.53,"2 18","904 924",16,"75.00%","87.50%","evm.model.Ap12.1041"
"24","Cluster_1200","3prime_UTR::Ap12:11482555-11483555(-)",144,-20.77,"2 21","965 983",19,"68.42%","68.42%","evm.model.Ap12.1061"
"25","Cluster_1200","3prime_UTR::Ap12:11855018-11856018(-)",155,-22.49,"2 12","67 88",10,"100.00%","100.00%","evm.model.Ap12.1091"
"26","Cluster_1200","3prime_UTR::Ap12:13401215-13402215(+)",160,-25.79,"2 21","937 958",19,"63.16%","84.21%","evm.model.Ap12.1255"
"27","Cluster_1200","3prime_UTR::Ap12:13864674-13865594(+)",147,-20.59,"2 12","23 44",10,"90.00%","90.00%","evm.model.Ap12.1305"
"28","Cluster_1200","3prime_UTR::Ap12:13864674-13865594(-)",148,-20.01,"2 21","617 638",19,"63.16%","68.42%","evm.model.Ap12.1306"
"29","Cluster_1200","3prime_UTR::Ap12:15507067-15508067(+)",162,-21.67,"2 21","890 910",19,"73.68%","84.21%","evm.model.Ap12.1475"
"30","Cluster_1200","3prime_UTR::Ap12:21966544-21967544(-)",149,-20.25,"2 14","880 901",12,"83.33%","83.33%","evm.model.Ap12.2094"
"31","Cluster_1200","3prime_UTR::Ap12:22020232-22021232(-)",163,-20.83,"2 21","131 153",20,"75.00%","80.00%","evm.model.Ap12.2099"
