gene_name	GeneOntologyIDs
Ahyacinthus00001	
Ahyacinthus00002	GO:0046872;GO:0016787;GO:0003676
Ahyacinthus00003	
Ahyacinthus00004	
Ahyacinthus00005	
Ahyacinthus00006	
Ahyacinthus00007	
Ahyacinthus00008	GO:0008270;GO:0003676
Ahyacinthus00009	
Ahyacinthus00010	
Ahyacinthus00011	GO:0003677
Ahyacinthus00012	
Ahyacinthus00013	GO:0003677
Ahyacinthus00014	
Ahyacinthus00015	
Ahyacinthus00016	
Ahyacinthus00017	
Ahyacinthus00018	
Ahyacinthus00019	
Ahyacinthus00020	
Ahyacinthus00021	
Ahyacinthus00022	
Ahyacinthus00023	
Ahyacinthus00024	GO:0043005
Ahyacinthus00025	GO:0016020;GO:0004252;GO:0006508
Ahyacinthus00026	
Ahyacinthus00027	GO:0043025;GO:0030424;GO:0005886;GO:0008046;GO:0007156;GO:0050808
Ahyacinthus00028	GO:0030424;GO:0005886;GO:0098632;GO:0007411;GO:0007156;GO:0070593
Ahyacinthus00029	GO:0005886;GO:0007156
Ahyacinthus00030	
Ahyacinthus00031	
Ahyacinthus00032	
Ahyacinthus00033	
Ahyacinthus00034	
Ahyacinthus00035	
Ahyacinthus00036	GO:0043235;GO:0005886;GO:0004714;GO:0007169;GO:0007275;GO:0033674
Ahyacinthus00037	GO:0043235;GO:0005886;GO:0005524;GO:0004713;GO:0004714;GO:0004672;GO:0006468;GO:0007169;GO:0007275;GO:0033674
Ahyacinthus00038	GO:0043235;GO:0005886;GO:0005524;GO:0004713;GO:0004714;GO:0004672;GO:0006468;GO:0007169;GO:0007275;GO:0033674
Ahyacinthus00039	GO:0043025;GO:0030424;GO:0005886;GO:0008046;GO:0007156;GO:0050808
Ahyacinthus00040	GO:0005524
Ahyacinthus00041	GO:0043235;GO:0005886;GO:0005524;GO:0004714;GO:0004672;GO:0006468;GO:0007169;GO:0007275;GO:0033674
Ahyacinthus00042	
Ahyacinthus00043	
Ahyacinthus00044	
Ahyacinthus00045	
Ahyacinthus00046	GO:0005856
Ahyacinthus00047	GO:0005856;GO:0016459;GO:0005524;GO:0005515;GO:0003774
Ahyacinthus00048	GO:0030424;GO:0005886;GO:0098632;GO:0007411;GO:0007156;GO:0070593
Ahyacinthus00049	GO:0005737;GO:0016281;GO:0003723;GO:0003743;GO:0000340;GO:0006413
Ahyacinthus00050	
Ahyacinthus00051	
Ahyacinthus00052	
Ahyacinthus00053	
