#OG_name	protein_names
OG_1	NV2t023681001.1 protein|evm.model.Ap1.309 Ahyacinthus09134-RA Ahyacinthus27045-RA
OG_2	NV2t025227001.1 Ahyacinthus26848-RA Ahyacinthus26827-RA protein|evm.model.Ap1.3104
OG_3	Ahyacinthus17642-RA protein|evm.model.Ap14.495 protein|evm.model.Ap14.497 protein|evm.model.Ap14.496
OG_4	protein|evm.model.Ap6.2791 Ahyacinthus05131-RA Ahyacinthus05132-RA NV2t008934001.1 NV2t008934002.1 NV2t008671001.1 Ahyacinthus05120-RA
OG_5	NV2t006177001.1 NV2t006177002.1 Ahyacinthus26456-RA Ahyacinthus22157-RA protein|evm.model.Ap9.1228
OG_6	NV2t025203001.1 protein|evm.model.Ap1.3389 Ahyacinthus10524-RA
OG_7	Ahyacinthus10897-RA Ahyacinthus01551-RA NV2t021640001.1 protein|evm.model.Ap8.585
OG_8	Ahyacinthus01132-RA Ahyacinthus27070-RA protein|evm.model.Ap8.697 NV2t022363001.1
OG_9	Ahyacinthus23490-RA Ahyacinthus23494-RA protein|evm.model.Ap11.1027
OG_10	NV2t012303001.1 Ahyacinthus23492-RA Ahyacinthus23497-RA protein|evm.model.Ap11.1025
OG_11	Ahyacinthus08320-RA Ahyacinthus15648-RA NV2t001184001.1 NV2t001184002.1 protein|evm.model.Ap10.117
OG_12	NV2t012527001.1 NV2t012527002.1 NV2t012527003.1 NV2t012527004.1 NV2t012527005.1 Ahyacinthus15660-RA Ahyacinthus15661-RA protein|evm.model.Ap4.6499
OG_13	NV2t020121001.1 Ahyacinthus20994-RA Ahyacinthus20996-RA protein|evm.model.Ap13.1898
OG_14	protein|evm.model.Ap5.1654 NV2t003804001.1 NV2t003804002.1 Ahyacinthus14683-RA Ahyacinthus14505-RA
OG_15	NV2t017318001.1 Ahyacinthus11872-RA Ahyacinthus11868-RA protein|evm.model.Ap2.3525
OG_16	NV2t021691001.1 protein|evm.model.Ap8.2589 Ahyacinthus26586-RA
OG_17	NV2t016537001.1 protein|evm.model.Ap3.1296 Ahyacinthus03343-RA Ahyacinthus26645-RA
OG_18	Ahyacinthus14800-RA protein|evm.model.Ap4.382
OG_19	NV2t014467001.1 Ahyacinthus14807-RA protein|evm.model.Ap4.388
OG_20	Ahyacinthus14810-RA NV2t014344001.1 protein|evm.model.Ap4.457
OG_21	NV2t014343001.1 Ahyacinthus14809-RA protein|evm.model.Ap4.456
OG_22	protein|evm.model.Ap4.485 NV2t013925001.1 protein|evm.model.Ap4.484 Ahyacinthus14816-RA Ahyacinthus14817-RA
OG_23	Ahyacinthus14819-RA protein|evm.model.Ap4.487 NV2t013927001.1
OG_24	Ahyacinthus14818-RA NV2t013926001.1 protein|evm.model.Ap4.486
OG_25	protein|evm.model.Ap4.518 NV2t023690001.1 NV2t023690002.1 NV2t023690003.1 Ahyacinthus14845-RA
OG_26	NV2t014421001.1 Ahyacinthus14833-RA protein|evm.model.Ap4.525
OG_27	protein|evm.model.Ap4.514 Ahyacinthus14853-RA
OG_28	NV2t013055001.1 protein|evm.model.Ap4.512 Ahyacinthus14855-RA Ahyacinthus14856-RA Ahyacinthus14857-RA
OG_29	NV2t013496001.1 Ahyacinthus14859-RA protein|evm.model.Ap4.500
OG_30	Ahyacinthus14869-RA NV2t013891001.1 NV2t013891002.1 NV2t013891003.1 NV2t013891004.1 protein|evm.model.Ap4.550
OG_31	protein|evm.model.Ap4.563 Ahyacinthus14873-RA NV2t013829001.1 NV2t013829002.1 Ahyacinthus14875-RA
OG_32	protein|evm.model.Ap4.585 Ahyacinthus14888-RA
OG_33	NV2t013361001.1 Ahyacinthus14896-RA protein|evm.model.Ap4.25
OG_34	NV2t013851001.1 NV2t013851002.1 Ahyacinthus14909-RA Ahyacinthus14910-RA protein|evm.model.Ap4.17
OG_35	NV2t013731001.1 NV2t013731002.1 protein|evm.model.Ap4.10 Ahyacinthus14921-RA
OG_36	NV2t013858001.1 Ahyacinthus14925-RA protein|evm.model.Ap4.395
OG_37	protein|evm.model.Ap10.1194 NV2t000571001.1 NV2t000571002.1 NV2t000571003.1 NV2t000571004.1 Ahyacinthus08033-RA Ahyacinthus08035-RA Ahyacinthus08032-RA
OG_38	NV2t013940001.1 protein|evm.model.Ap4.398 Ahyacinthus14927-RA Ahyacinthus14928-RA
OG_39	protein|evm.model.Ap1.22 NV2t023521001.1
OG_40	protein|evm.model.Ap4.406 Ahyacinthus14934-RA NV2t013198001.1 NV2t013198002.1
OG_41	protein|evm.model.Ap4.410 Ahyacinthus14935-RA
OG_42	Ahyacinthus14947-RA protein|evm.model.Ap4.428
OG_43	NV2t013045001.1 protein|evm.model.Ap4.431.1.5f15ddea protein|evm.model.Ap4.431 Ahyacinthus14950-RA
OG_44	protein|evm.model.Ap4.433 NV2t013971001.1 Ahyacinthus14952-RA
OG_45	NV2t014469001.1 Ahyacinthus14960-RA protein|evm.model.Ap4.1147
OG_46	protein|evm.model.Ap4.432 NV2t013049001.1 Ahyacinthus14951-RA
OG_47	protein|evm.model.Ap4.437 Ahyacinthus14955-RA
OG_48	protein|evm.model.Ap4.1734 NV2t014479001.1 NV2t014479002.1 NV2t014479003.1 NV2t014479004.1 NV2t014479005.1 NV2t014479006.1 Ahyacinthus14975-RA
OG_49	protein|evm.model.Ap4.1807 Ahyacinthus14963-RA Ahyacinthus14966-RA Ahyacinthus14967-RA NV2t014478001.1 NV2t014476001.1
OG_50	NV2t013096001.1 NV2t013096002.1 NV2t013096003.1 NV2t013096004.1 NV2t013096005.1 NV2t013096006.1 Ahyacinthus14982-RA Ahyacinthus14981-RA protein|evm.model.Ap4.1737
OG_51	protein|evm.model.Ap4.1760 protein|evm.model.Ap4.1760.1.5f15e09e NV2t014146001.1 NV2t014146003.1 NV2t014146004.1 NV2t014146005.1 NV2t014146002.1 Ahyacinthus14993-RA
OG_52	protein|evm.model.Ap4.1783 NV2t014192001.1 NV2t014192002.1 Ahyacinthus14994-RA
OG_53	protein|evm.model.Ap4.1687 Ahyacinthus15014-RA Ahyacinthus15013-RA NV2t013510001.1
OG_54	Ahyacinthus15019-RA protein|evm.model.Ap4.1659
OG_55	Ahyacinthus15015-RA protein|evm.model.Ap4.1688
OG_56	NV2t015289001.1 NV2t015289002.1 Ahyacinthus15016-RA
OG_57	protein|evm.model.Ap4.1182.1.5f15dfd1 protein|evm.model.Ap4.1182 Ahyacinthus15029-RA NV2t008945001.1
OG_58	NV2t014768001.1 Ahyacinthus15034-RA protein|evm.model.Ap4.1176 protein|evm.model.Ap4.1192
OG_59	NV2t014351001.1 NV2t014351002.1 NV2t014351003.1 NV2t014351004.1 Ahyacinthus15057-RA protein|evm.model.Ap4.825
OG_60	Ahyacinthus08986-RA protein|evm.model.Ap1.549 Ahyacinthus08987-RA NV2t023748001.1
OG_61	NV2t013054001.1 protein|evm.model.Ap4.822 Ahyacinthus15061-RA Ahyacinthus15063-RA Ahyacinthus15064-RA
OG_62	NV2t013562001.1 NV2t013562002.1 NV2t013562003.1 NV2t013562004.1 NV2t013562005.1 NV2t013562006.1 NV2t013562007.1 NV2t013562008.1 NV2t013562009.1 NV2t013562010.1 NV2t013562011.1 protein|evm.model.Ap4.791 protein|evm.model.Ap4.790 Ahyacinthus15072-RA Ahyacinthus15075-RA
OG_63	protein|evm.model.Ap4.789 Ahyacinthus15076-RA NV2t013563001.1 NV2t013563002.1
OG_64	protein|evm.model.Ap4.763 Ahyacinthus15083-RA NV2t014604001.1 NV2t014607001.1 Ahyacinthus15082-RA
OG_65	Ahyacinthus15079-RA NV2t013567001.1 NV2t013570001.1 protein|evm.model.Ap4.787
OG_66	Ahyacinthus15081-RA protein|evm.model.Ap4.767
OG_67	protein|evm.model.Ap4.736 Ahyacinthus15096-RA NV2t013741001.1
OG_68	NV2t013801001.1 protein|evm.model.Ap4.732 Ahyacinthus15100-RA
OG_69	protein|evm.model.Ap4.1124 Ahyacinthus15105-RA
OG_70	protein|evm.model.Ap4.1125 Ahyacinthus15106-RA NV2t014628001.1 NV2t014628002.1 NV2t014628003.1
OG_71	protein|evm.model.Ap4.1136 Ahyacinthus15123-RA
OG_72	NV2t013819001.1 protein|evm.model.Ap4.1247 Ahyacinthus15130-RA
OG_73	NV2t013092001.1 NV2t013092002.1 NV2t013092004.1 NV2t013092005.1 NV2t013092006.1 NV2t013092003.1 NV2t013092007.1 Ahyacinthus15131-RA protein|evm.model.Ap4.1243
OG_74	NV2t015160001.1 protein|evm.model.Ap4.1260 Ahyacinthus15138-RA
OG_75	Ahyacinthus15137-RA protein|evm.model.Ap4.1259 NV2t014394001.1
OG_76	NV2t024217001.1 NV2t024213001.1 protein|evm.model.Ap4.1269 Ahyacinthus15142-RA
OG_77	Ahyacinthus15144-RA protein|evm.model.Ap4.1270 NV2t010251001.1 Ahyacinthus15143-RA
OG_78	protein|evm.model.Ap4.1285 NV2t015236001.1 Ahyacinthus15151-RA
OG_79	Ahyacinthus15153-RA NV2t015237001.1 NV2t015237002.1 protein|evm.model.Ap4.1287
OG_80	protein|evm.model.Ap4.1288 Ahyacinthus15155-RA NV2t015238001.1 NV2t015238002.1 NV2t015238003.1
OG_81	NV2t015235004.1 NV2t015235005.1 NV2t015235001.1 NV2t015235002.1 NV2t015235003.1 protein|evm.model.Ap4.1284 Ahyacinthus15150-RA
OG_82	protein|evm.model.Ap4.1293 NV2t015051001.1 NV2t015052001.1 NV2t015052002.1 NV2t015059001.1 NV2t015059002.1 Ahyacinthus15161-RA
OG_83	protein|evm.model.Ap4.1294 NV2t015053001.1 NV2t015060001.1 Ahyacinthus15162-RA
OG_84	protein|evm.model.Ap4.1313 Ahyacinthus15181-RA NV2t015285001.1
OG_85	protein|evm.model.Ap4.1329 NV2t014689001.1 NV2t014689002.1 NV2t014689003.1 NV2t014689004.1 NV2t014692001.1 Ahyacinthus15182-RA
OG_86	Ahyacinthus15207-RA Ahyacinthus15206-RA protein|evm.model.Ap4.1339 NV2t014622001.1 NV2t014622002.1
OG_87	NV2t014679001.1 Ahyacinthus15201-RA protein|evm.model.Ap4.1333
OG_88	NV2t015269001.1 protein|evm.model.Ap4.1336 Ahyacinthus15204-RA
OG_89	protein|evm.model.Ap4.1373 Ahyacinthus15214-RA
OG_90	protein|evm.model.Ap4.1094 Ahyacinthus15216-RA NV2t014675001.1
OG_91	NV2t014610001.1 Ahyacinthus15213-RA protein|evm.model.Ap4.1372
OG_92	NV2t014376001.1 NV2t014376002.1 NV2t014376003.1 NV2t014376004.1 NV2t014376005.1 Ahyacinthus15222-RA protein|evm.model.Ap4.1403.1.5f15e02c protein|evm.model.Ap4.1403
OG_93	protein|evm.model.Ap4.1404 NV2t013491001.1 Ahyacinthus15223-RA
OG_94	NV2t015153001.1 Ahyacinthus15228-RA protein|evm.model.Ap4.1418
OG_95	NV2t014158005.1 NV2t014158006.1 NV2t014158007.1 NV2t014158008.1 NV2t014158001.1 NV2t014158002.1 NV2t014158003.1 NV2t014158004.1 protein|evm.model.Ap4.1524 Ahyacinthus15246-RA Ahyacinthus15245-RA
OG_96	protein|evm.model.Ap4.1526 Ahyacinthus15248-RA
OG_97	NV2t013883004.1 NV2t013883001.1 NV2t013883002.1 NV2t013883003.1 Ahyacinthus15250-RA protein|evm.model.Ap4.1528
OG_98	protein|evm.model.Ap1.1345 protein|evm.model.Ap4.1511 Ahyacinthus15253-RA NV2t014791001.1
OG_99	NV2t014792001.1 protein|evm.model.Ap4.1512 Ahyacinthus15252-RA
OG_100	Ahyacinthus15262-RA protein|evm.model.Ap4.1497 NV2t015227001.1
OG_101	protein|evm.model.Ap4.1501 Ahyacinthus15257-RA NV2t013686001.1
OG_102	NV2t015226001.1 NV2t015226002.1 protein|evm.model.Ap4.1498 Ahyacinthus15261-RA
OG_103	protein|evm.model.Ap4.1487 Ahyacinthus15269-RA NV2t002432003.1 NV2t002432001.1 NV2t002432002.1 NV2t014338001.1 Ahyacinthus14394-RA
OG_104	Ahyacinthus22860-RA Ahyacinthus22859-RA protein|evm.model.Ap9.212.1.5f15e60a protein|evm.model.Ap9.212 NV2t005990001.1
OG_105	protein|evm.model.Ap4.1485 Ahyacinthus15277-RA NV2t014618001.1
OG_106	protein|evm.model.Ap4.1475 NV2t014202001.1 NV2t014202002.1 NV2t014202003.1 Ahyacinthus15280-RA
OG_107	NV2t014362001.1 Ahyacinthus15291-RA Ahyacinthus15290-RA protein|evm.model.Ap4.1531
